"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.369803583E0,4.466814044E0,2.266517027E0,2.008323280E0,5.396562752E0
1.379816583E0,3.492376141E0,2.533698530E0,2.837497051E0,5.164078704E0
1.389830583E0,7.704491611E-1,1.481178077E0,2.978220820E0,3.414275862E0
1.399844583E0,-1.886921049E0,1.150271865E0,2.538749939E0,3.365835359E0
1.409858583E0,-3.274080285E0,9.342149073E-1,2.548361592E0,4.252823298E0
1.419872583E0,-2.864158892E0,1.417350456E0,3.850782101E0,5.004079462E0
1.429885583E0,-3.163712335E0,1.168047985E0,3.334593119E0,4.742670461E0
1.439899583E0,-2.514088138E0,1.987553385E0,3.787297711E0,4.961313493E0
1.449913583E0,-2.643087948E0,2.373393019E0,2.772361700E0,4.506095618E0
1.459927583E0,-1.693345759E0,2.068301679E0,1.715692356E0,3.176301616E0
1.469941583E0,-7.721624684E-1,1.406869322E0,1.444337111E0,2.159079863E0
1.479954583E0,-4.154254494E-1,4.931179154E-1,2.361110504E0,2.447567445E0
1.489968583E0,5.381536089E-2,2.772112316E-1,3.607944019E0,3.618978061E0
1.499982583E0,2.803427079E-1,6.732250214E-2,4.756833017E0,4.765562370E0
1.509996583E0,-4.017544399E-1,-4.169438982E-1,4.831074237E0,4.865647658E0
1.520010583E0,-1.310446543E0,-1.201556039E-1,3.033666166E0,3.306786645E0
1.530023583E0,-1.323748228E0,3.282697034E-1,5.019264534E-1,1.453272354E0
1.540037583E0,-9.729075412E-1,5.109337968E-1,-1.504112758E0,1.862782225E0
1.550051583E0,-4.729850748E-1,4.763913703E-1,-2.400828448E0,2.492918140E0
1.560065583E0,-4.246277243E-2,9.614342809E-2,-2.749137436E0,2.751145814E0
1.570079583E0,6.335019618E-2,-3.454178327E-1,-1.942995847E0,1.974477042E0
1.580092583E0,5.273603797E-3,-5.441529983E-1,-2.339470983E-1,5.923356660E-1
1.590105833E0,1.526810333E-1,-8.672245270E-1,1.102082037E0,1.410664628E0
1.600119833E0,2.317514688E-2,-1.149690067E0,1.639262377E0,2.002374959E0
1.610133833E0,-2.841735113E-1,-1.244974539E0,1.303650763E0,1.824889448E0
1.620147833E0,-3.676790598E-1,-1.465096480E0,4.404730940E-1,1.573439587E0
1.630161833E0,-7.090333700E-3,-1.783314820E0,-4.937144776E-1,1.850409686E0
1.640174833E0,5.470435694E-1,-2.087394007E0,-8.754391341E-1,2.328704379E0
1.650188833E0,1.039081796E0,-2.397835550E0,-6.748014307E-1,2.699011537E0
1.660202833E0,1.175654043E0,-2.718244257E0,-6.333835557E-2,2.962267040E0
1.670216833E0,1.356414283E0,-3.098836015E0,3.490004218E-1,3.400653710E0
1.680230833E0,1.746086183E0,-3.147255639E0,4.550420165E-1,3.627822797E0
1.690243833E0,2.202040365E0,-3.067660416E0,2.787858868E-1,3.786455303E0
1.700257833E0,2.514669936E0,-3.253003703E0,2.744882564E-1,4.120793829E0
1.710271833E0,1.972673098E0,-3.221077321E0,6.805291439E-1,3.837954947E0
1.720285833E0,1.247881190E0,-2.907851334E0,1.032184421E0,3.328394737E0
1.730299833E0,9.524476951E-1,-2.615550778E0,6.582853854E-1,2.860350002E0
1.740312833E0,7.334554356E-1,-2.408411994E0,-1.406546994E-1,2.521544954E0
1.750326833E0,4.895172000E-2,-1.889710756E0,-5.523057711E-1,1.969376723E0
1.760340833E0,-1.021424375E0,-9.274046552E-1,-4.416800324E-1,1.448609126E0
1.770354833E0,-2.610214024E0,2.211913973E-1,3.570083298E-2,2.619812481E0
