"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.037973417E0,6.003336310E-3,1.322950814E0,3.397279072E-1,1.365887970E0
1.047985417E0,-1.101328915E-1,1.551705292E0,-2.437236428E-1,1.574585591E0
1.057997417E0,-5.998161525E-2,1.656571304E0,-8.295737207E-1,1.853650139E0
1.068008417E0,1.464212966E-1,1.347097329E0,-1.249421931E0,1.843140139E0
1.078020417E0,3.261167586E-1,8.854957603E-1,-1.967130815E0,2.181755835E0
1.088032417E0,6.203758398E-1,8.271412790E-1,-3.030583221E0,3.202102987E0
1.098044417E0,1.089395333E0,9.718116269E-1,-4.006860659E0,4.264520181E0
1.108056417E0,1.325211786E0,9.548517779E-1,-4.579870836E0,4.862421729E0
1.118067417E0,1.364653302E0,8.037410143E-1,-4.670777498E0,4.931981416E0
1.128079417E0,1.274087241E0,7.794508034E-1,-4.496591282E0,4.738161565E0
1.138091417E0,1.366668253E0,9.563710307E-1,-4.421283823E0,4.725481806E0
1.148103417E0,1.587145705E0,1.134945581E0,-4.505997114E0,4.910309863E0
1.158115292E0,1.656129986E0,1.142333392E0,-4.503964621E0,4.932888547E0
1.168126292E0,1.466560038E0,1.089780811E0,-4.378237206E0,4.744194514E0
1.178138292E0,1.163592114E0,9.745516321E-1,-4.251376600E0,4.514188796E0
1.188150292E0,7.584291860E-1,7.288623016E-1,-4.224850121E0,4.353827469E0
1.198162292E0,5.073433140E-1,3.172000471E-1,-4.441640319E0,4.481761019E0
1.208174292E0,5.335408866E-1,-4.405029148E-2,-4.790743067E0,4.820562772E0
1.218185292E0,7.919603366E-1,-3.312830660E-1,-4.853815813E0,4.929145726E0
1.228197292E0,1.146692199E0,-4.935257587E-1,-4.856056466E0,5.013956031E0
1.238209292E0,1.256161139E0,-5.173718736E-1,-4.673805771E0,4.867245098E0
1.248221292E0,1.288903208E0,-3.942053922E-1,-3.998280455E0,4.219350183E0
1.258233292E0,1.540123858E0,-4.122146702E-1,-2.881192124E0,3.292896975E0
1.268244292E0,1.842725747E0,-6.324478550E-1,-1.759260544E0,2.625000215E0
