Time (s),x,y,z,total_acceleration
6.52,0.188,1.3,1.28,1.84
9.08,-0.717,0.646,0.533,1.1
2.95,-0.748,0.165,-0.851,1.15
1.33,-1.44,0.624,-1.38,2.08
3.78,-2.0,-0.429,0.158,2.05
9.17,0.0874,-0.0585,-0.191,0.218
4.92,0.847,-0.591,0.373,1.1
4.63,-1.27,0.964,1.35,2.09
1.77,2.54,3.62,0.772,4.48
5.79,-1.43,-0.259,-0.249,1.48
0.907,-0.816,-0.879,0.989,1.55
1.81,2.8,0.56,-0.316,2.88
8.59,-0.095,0.0186,-0.573,0.581
2.34,-4.98,-1.15,1.89,5.45
6.21,-0.264,0.195,-0.488,0.588
7.48,0.0563,0.791,1.07,1.33
7.61,-0.79,0.222,0.511,0.967
4.33,0.959,-1.81,-0.891,2.23
3.41,-1.04,-1.22,-0.738,1.77
6.74,-0.308,-0.235,0.145,0.414
1.7,-0.583,4.31,1.21,4.52
4.76,0.859,0.459,-0.471,1.08
8.77,-1.25,0.036,0.656,1.41
5.69,-0.416,-0.793,-0.375,0.971
7.0,3.11,-0.175,-3.84,4.95
1.16,-2.26,-2.65,0.779,3.57
5.62,-0.684,0.945,0.176,1.18
8.81,-0.494,1.4,0.293,1.51
6.63,-0.975,-0.0451,-0.495,1.09
5.14,-0.0215,-1.67,-0.539,1.76
2.53,0.687,-4.48,1.46,4.77
0.446,5.1,-1.56,0.834,5.4
8.82,-1.76,1.27,0.0948,2.18
2.58,-3.79,1.31,0.452,4.04
1.35,-2.09,-0.526,-0.863,2.32
0.833,-1.37,-0.764,-0.0705,1.57
0.851,-1.51,-0.602,-0.0939,1.62
8.57,-0.482,0.663,-0.269,0.862
0.612,1.54,-0.852,4.31,4.66
7.43,-0.453,-0.796,0.393,0.997
5.22,-0.333,-2.79,-0.245,2.82
2.2,2.39,4.27,0.34,4.91
3.17,-1.93,0.839,1.31,2.48
8.29,-0.483,0.728,-0.393,0.958
6.73,-0.207,0.363,-0.339,0.538
6.5,-0.987,1.43,1.11,2.07
2.91,0.35,-2.38,0.448,2.45
7.13,-5.16,0.292,5.38,7.46
6.65,-1.86,-0.26,-0.927,2.09
1.05,-1.58,-0.14,1.96,2.53
5.01,-5.16,0.764,-2.46,5.77
5.82,-1.59,1.86,-1.08,2.67
8.47,-0.778,-0.21,-0.089,0.811
1.94,3.7,-1.36,-6.86,7.92
0.925,-0.731,-0.455,1.24,1.51
3.3,-0.709,1.04,-0.261,1.29
3.02,-1.22,0.622,-1.35,1.92
1.31,-0.501,1.01,-0.373,1.19
2.86,-1.41,0.00755,2.47,2.85
8.07,-0.524,0.533,-0.101,0.754
8.71,-0.733,0.515,-0.515,1.03
3.67,-1.15,-0.306,2.22,2.52
7.65,-1.02,0.152,0.208,1.05
6.8,-0.409,-0.116,-0.252,0.494
7.22,-0.292,4.97,1.77,5.28
1.59,-4.02,-0.705,7.49,8.53
1.37,-2.11,-2.93,-2.12,4.19
5.34,-2.88,-0.0918,0.3,2.89
4.83,-3.18,-1.19,-0.467,3.42
8.53,-1.05,0.116,-0.361,1.12
7.55,-1.34,-1.87,-1.21,2.6
4.55,-3.88,2.42,-1.39,4.78
4.79,1.38,-0.304,0.766,1.61
4.44,-1.82,-2.21,0.248,2.88
4.52,-3.32,0.127,-0.114,3.33
6.69,-0.51,0.599,-0.603,0.991
9.14,-1.51,0.0726,0.351,1.55
0.796,-0.784,-0.361,-1.68,1.89
5.97,-2.13,0.892,0.847,2.46
5.84,-2.96,1.44,-2.02,3.86
2.31,-2.88,-4.09,-0.203,5.0
4.96,-6.97,-2.56,3.24,8.1
3.91,-4.29,-0.167,0.0468,4.3
5.73,-0.778,-1.16,-0.224,1.41
4.07,-1.56,-1.08,-1.21,2.25
1.27,-1.04,1.64,-0.549,2.02
6.93,-2.85,-1.23,2.51,3.99
3.43,0.319,-1.97,0.958,2.21
7.96,-1.23,1.4,0.477,1.93
8.75,-1.64,-1.14,-0.0809,2.0
8.4,-0.86,0.46,-0.0198,0.976
2.38,-3.97,0.847,1.48,4.32
1.02,-0.696,-0.29,1.89,2.03
