Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
38.00127792,5.35136241,-1.229844868,-0.6103627753,5.524684675,0
38.01128892,4.302936178,-0.1758357149,-1.405126559,4.529962317,0
38.02130092,3.43803475,0.6345644009,-1.523097644,3.813473659,0
38.03131292,2.631554022,1.363608697,-1.526962068,3.334084344,0
38.04132392,2.131280138,2.233234091,-2.15168736,3.762904201,0
38.05133592,1.608404427,3.124063243,-2.65719991,4.40538844,0
38.06134792,1.119123016,3.714712715,-2.61537273,4.678856847,0
38.07135892,1.025160599,3.362921417,0.07781913131,3.516568005,0
38.08137092,1.981238392,1.822463683,5.715629911,6.317840195,0
38.09138292,2.421807088,0.1247345585,7.990298542,8.350184373,0
38.10139392,1.756903532,-0.7120347458,5.927596157,6.223351163,0
38.11140592,0.8561773825,-0.7175562716,2.69196687,2.914551825,0
38.12141792,-0.1012991739,-0.624276225,-0.1995431046,0.6631740181,0
38.13142892,-0.6599208516,-0.3740814686,-2.775584393,2.877377486,0
38.14144092,-1.366146096,-0.09900680959,-4.315721115,4.527869946,0
38.15145192,-1.636550292,0.454018169,-4.468182293,4.780071376,0
38.16146392,-1.195947682,1.465327445,-3.435119913,3.921418646,0
38.17147592,-0.674076376,2.260785002,-2.167141697,3.203440481,0
38.18148692,-0.8303429219,2.540267292,-1.872946058,3.263488044,0
38.19149854,-0.8824752349,2.472329078,-2.502014222,3.626465052,0
38.20151054,-0.9070069358,2.608466291,-3.537848475,4.488109826,0
38.21152154,-1.735783389,2.486188148,-4.802992984,5.680036715,0
38.22153354,-2.326520569,2.084549337,-5.951035305,6.721076186,0
38.23154554,-2.512068802,1.724879501,-6.091450342,6.811128117,0
38.24155654,-2.522154372,0.9739046377,-4.928027505,5.620961484,0
38.25156854,-2.08035396,0.664462384,-3.8169314,4.397538877,0
38.26157954,-1.203877968,0.6413530183,-3.819118844,4.055406835,0
38.27159154,-0.1404358034,0.1914553821,-4.518452268,4.524686539,0
38.28160354,0.3529622027,-0.2862188673,-5.818113475,5.8358331,0
38.29161454,0.244652473,-0.6742629021,-7.246337414,7.281750559,0
38.30162654,-0.4272849914,-0.8348771453,-8.252646736,8.305767301,0
38.31163854,-1.280627059,-0.9331846279,-8.243189449,8.39410576,0
38.32164954,-1.499945301,-0.4822648984,-7.272799573,7.44150717,0
38.33166154,-1.250727614,0.221341086,-6.301107522,6.427850919,0
38.34167354,-0.993650685,0.8434111565,-6.068475462,6.206857377,0
38.35168454,-1.204557707,1.444914231,-6.190774071,6.470272019,0
38.36169654,-1.45445981,2.154447538,-6.15592525,6.682253603,0
38.37170754,-1.701299142,2.649172268,-5.719858618,6.529112886,0
38.38171954,-1.996668609,2.723251228,-4.908414774,5.957794758,0
38.39173154,-2.015011033,2.147275343,-3.898838028,4.885897955,0
38.40174254,-1.176391742,0.790626002,-2.248630979,2.658068526,0
38.41175454,0.6455846483,-1.32667359,-0.6294200206,1.604061069,0
38.42176654,3.111134757,-3.162360751,-0.1004997499,4.437317342,0
38.43177754,5.47513744,-4.752773588,0.09225152135,7.250827339,0
38.44178954,6.902575513,-6.527194793,0.2183198297,9.502498835,0
38.45180154,7.874949349,-8.791876963,-0.1067093468,11.80352975,0
38.46181254,8.269169213,-11.08131098,-0.2407848322,13.82868721,0
38.47182454,8.430519036,-13.19734933,0.4795254779,15.66759794,0
38.48183654,7.71772883,-14.71705822,1.916784241,16.72809621,0
38.49184754,4.664828248,-14.42326136,3.807436692,15.62970457,0
38.50185954,1.235961933,-12.55185531,6.043099716,13.98555426,0
38.51187054,-1.670141961,-10.31002231,9.967022299,14.43701727,0
38.52188254,-5.435723113,-8.402986836,14.69699058,17.78085503,0
38.53189454,-8.788497857,-6.390155354,16.17436212,19.48542455,0
38.54190554,-10.04956276,-3.995515307,12.61646354,16.61725027,0
38.55191754,-10.16435764,-1.282720655,8.568703945,13.3559809,0
38.56192954,-9.120943058,1.275292937,6.237662308,11.12323718,0
38.57194054,-8.15192143,3.404095171,5.167746974,10.23461263,0
38.58195254,-7.769239292,5.390535831,4.900852278,10.65069522,0
38.59196454,-7.078854446,7.108756523,4.768023418,11.10759411,0
38.60197554,-6.561954736,8.153637003,4.00536845,11.20642774,0
38.61198754,-5.734907012,8.774906005,2.382943277,10.75018849,0
38.62199854,-4.280457142,8.653559908,-0.6290294266,9.674817334,0
38.63201054,-1.551694036,7.02249255,-2.828038302,7.72793353,0
38.64202254,0.5827834691,4.50927097,-2.832219939,5.356736976,0
38.65203354,1.996403438,2.899759372,-1.804058987,3.955863993,0
38.66204554,3.272734548,2.345841524,-0.9854113734,4.145455277,0
38.67205754,4.291494346,2.042560481,-0.37935478,4.76790175,0
38.68206854,4.919607514,1.57346936,0.1038936201,5.166153095,0
38.69208054,5.629115678,1.205582432,0.8237662661,5.815407396,0
38.70209254,6.335744673,0.9421840775,1.775836231,6.647026833,0
38.71210354,6.861922161,0.9019382769,2.623041646,7.401338789,0
38.72211554,6.976466777,0.9961088544,3.182650005,7.732566365,0
38.73212754,6.279792666,1.489660633,3.295357425,7.246672705,0
38.74213854,3.30636247,2.342905052,2.250926888,4.635505228,0
38.75215054,-0.3776006153,2.548298442,0.598412236,2.644712533,0
38.76216154,-2.963587286,2.20812907,-0.8699581003,3.796776355,0
38.77217354,-5.13930144,1.597025453,-2.094749805,5.775022626,0
38.78218554,-6.977899345,0.3831329584,-2.635067614,7.46869811,0
38.79219654,-8.125406061,-1.356549938,-2.691024006,8.666259954,0
38.80220854,-8.328631303,-3.329376526,-2.345553256,9.271055361,0
38.81222054,-7.954418272,-4.904702961,-2.041024126,9.56528414,0
38.82223154,-6.762000262,-5.776557899,-2.594053782,9.264037118,0
38.83224354,-4.60630639,-5.748321694,-3.199431514,8.031041207,0
38.84225554,-1.827555146,-4.613813338,-3.214848282,5.912907983,0
38.85226654,0.5368934608,-3.374519954,-3.705299575,5.040325828,0
38.86227854,2.349259806,-2.498854387,-5.178712842,6.211470163,0
38.87228954,3.526041777,-1.725065442,-6.473185816,7.570399989,0
38.88230154,3.184378149,-1.872280791,-6.169295493,7.190681918,0
38.89231354,1.91603916,-2.503818088,-4.493382623,5.489152801,0
38.90232454,0.820823801,-2.023048908,-2.690908816,3.465179483,0
38.91233654,0.1481374544,-1.828258858,-0.6415798903,1.943218957,0
38.92234854,-0.459778115,-2.489325179,0.8931174597,2.684361109,0
38.93235954,-1.123051468,-4.29246323,2.157150413,4.93353657,0
38.94237154,-1.083112061,-6.254873587,3.266491183,7.139085374,0
38.95238354,-0.3771423398,-7.340794505,3.97763189,8.357694404,0
38.96239454,0.7844197673,-6.724479849,4.667671165,8.223204832,0
38.97240654,2.511856256,-4.555562207,5.232365139,7.378361188,0
38.98241754,4.068172808,-1.798163239,5.235214487,6.869562705,0
38.99242954,4.902095103,0.2662114495,4.651430231,6.762928961,0
39.00244154,5.342826644,1.419309858,4.138631465,6.9056866,0
39.01245254,5.581030515,1.990950617,3.864158484,7.074143536,0
39.02246454,5.536659504,2.092522016,3.241190866,6.74822681,0
39.03247654,5.124406827,1.989326261,2.189998609,5.9171833,0
39.04248754,4.505816727,1.614686968,0.787278471,4.850711883,0
39.05249954,3.605100811,0.8718759871,-0.465751192,3.738160479,0
39.06251154,2.405256544,0.2981542039,-1.959101418,3.116445626,0
39.07252254,1.337295057,0.04778753936,-2.630130225,2.950970471,0
39.08253454,1.02802208,0.4695518821,-2.115040812,2.39806297,0
39.09254554,1.157370238,1.160010402,-1.705340153,2.365019035,0
